
Draw Date	Number 1	Number 2	Number 3	Number 4	Number 5	Powerball
2018-03-07	36	6	19	13	51	18
2018-03-10	69	43	54	44	61	22
2018-03-14	12	24	6	41	68	9
2018-03-17	60	66	22	59	57	7
2018-03-21	29	4	61	3	18	25
2018-03-24	33	56	53	10	45	24
2018-03-28	53	8	52	6	26	21
2018-03-31	24	55	52	61	8	21
2018-04-04	42	64	54	8	24	24
2018-04-07	38	2	20	17	39	20
2018-04-11	67	18	16	55	27	18
2018-04-14	61	17	19	26	62	15
2018-04-18	12	17	10	9	23	9
2018-04-21	50	69	54	62	40	19
2018-04-25	18	17	39	64	56	12
2018-04-28	28	50	22	45	20	8
2018-05-02	40	5	31	50	14	6
2018-05-05	29	36	14	61	57	17
2018-05-09	50	69	16	38	11	19
2018-05-12	42	56	22	55	45	14
2018-05-16	17	22	21	19	51	19
2018-05-19	56	9	17	3	6	25
2018-05-23	20	54	61	56	64	7
2018-05-26	45	31	21	1	49	21
2018-05-30	46	23	26	17	68	20
2018-06-02	23	37	64	44	25	7
2018-06-06	53	28	41	23	56	14
2018-06-09	36	10	25	6	15	14
2018-06-13	13	38	45	20	55	1
2018-06-16	65	9	58	57	45	9
2018-06-20	14	56	27	4	23	13
2018-06-23	29	56	45	16	43	25
2018-06-27	63	28	62	7	37	15
2018-06-30	9	3	20	42	61	24
2018-07-04	7	41	15	4	44	10
2018-07-07	45	43	1	10	64	22
2018-07-11	21	19	47	27	46	7
2018-07-14	49	22	41	67	42	11
2018-07-18	28	36	10	1	27	12
2018-07-21	9	56	58	23	68	1
2018-07-25	64	44	18	2	41	26
2018-07-28	27	65	56	46	22	13
2018-08-01	5	38	22	58	32	26
2018-08-04	38	58	3	11	44	2
2018-08-08	21	63	30	43	10	17
2018-08-11	56	43	5	68	62	24
2018-08-15	28	15	12	47	48	16
2018-08-18	34	67	52	61	24	16
2018-08-22	45	1	47	69	7	13
2018-08-25	25	20	57	63	54	8
2018-08-29	53	25	41	67	57	12
2018-09-01	54	66	55	61	11	9
2018-09-05	59	60	6	50	15	13
2018-09-08	20	32	3	33	13	21
2018-09-12	28	48	63	6	64	24
2018-09-15	19	18	24	34	2	3
2018-09-19	50	4	51	48	39	11
2018-09-22	61	24	69	64	63	18
2018-09-26	7	1	30	50	2	8
2018-09-29	9	17	34	59	64	22
2018-10-03	63	66	53	59	41	3
2018-10-06	22	53	27	67	1	15
2018-10-10	27	60	42	23	8	7
2018-10-13	14	65	11	43	32	15
2018-10-17	3	64	69	68	57	15
2018-10-20	62	16	54	57	69	23
2018-10-24	56	53	45	21	3	22
2018-10-27	13	12	8	27	19	4
2018-10-31	40	39	47	7	25	20
