
Draw Date	Number 1	Number 2	Number 3	Number 4	Number 5	Powerball
2022-11-21	1	67	51	40	6	2
2022-11-23	31	2	1	39	66	25
2022-11-26	15	30	47	50	51	3
2022-11-28	48	30	50	32	29	20
2022-11-30	4	24	47	66	19	10
2022-12-03	13	36	37	6	33	7
2022-12-05	35	54	55	45	47	14
2022-12-07	61	59	28	6	44	21
2022-12-10	23	9	68	49	47	19
2022-12-12	55	16	50	31	61	9
2022-12-14	36	51	68	66	59	25
2022-12-17	56	33	66	68	64	12
2022-12-19	55	37	65	7	67	12
2022-12-21	34	15	59	24	12	14
2022-12-24	37	17	67	54	46	8
2022-12-26	60	41	47	17	61	17
2022-12-28	32	38	45	26	56	1
2022-12-31	18	37	44	64	50	11
2023-01-02	9	62	12	7	31	22
2023-01-04	68	12	56	32	67	26
2023-01-07	45	36	67	35	44	14
2023-01-09	18	43	48	60	69	14
2023-01-11	4	47	48	8	46	5
2023-01-14	24	26	57	39	47	23
2023-01-16	14	33	4	61	39	3
2023-01-18	15	47	22	6	42	26
2023-01-21	14	5	64	19	46	22
2023-01-23	47	60	31	58	12	23
2023-01-25	17	38	20	9	40	18
2023-01-28	23	27	47	18	2	15
2023-01-30	49	1	36	4	12	5
2023-02-01	58	59	43	31	66	9
2023-02-04	58	2	15	19	8	10
2023-02-06	22	11	23	5	69	7
2023-02-08	64	59	66	58	52	9
2023-02-11	65	30	10	23	54	11
2023-02-13	26	37	17	65	61	2
2023-02-15	60	31	63	54	32	12
2023-02-18	31	8	37	32	21	23
2023-02-20	17	3	54	38	26	15
2023-02-22	11	39	65	44	19	7
2023-02-25	24	66	58	11	67	26
2023-02-27	55	49	16	28	51	23
2023-03-01	2	28	9	36	53	4
2023-03-04	10	40	16	18	66	16
2023-03-06	69	58	13	29	2	4
2023-03-08	43	69	26	27	61	4
2023-03-11	33	58	11	43	20	24
2023-03-13	3	46	24	10	63	4
2023-03-15	18	33	37	50	16	8
2023-03-18	69	20	14	30	54	11
2023-03-20	32	67	47	1	27	14
2023-03-22	37	27	28	50	57	5
2023-03-25	15	57	18	47	17	19
2023-03-27	36	19	26	58	43	14
2023-03-29	66	9	24	46	4	7
2023-04-01	19	29	21	11	52	17
2023-04-03	16	31	68	30	54	1
2023-04-05	52	42	9	3	5	11
2023-04-08	51	11	22	60	24	18
2023-04-10	46	52	9	10	36	14
2023-04-12	41	36	59	9	44	4
2023-04-15	56	1	33	34	59	18
2023-04-17	64	35	63	23	25	25
2023-04-19	21	4	11	64	38	11
2023-04-22	63	68	17	36	47	25
2023-04-24	19	55	68	66	21	3
2023-04-26	15	49	2	30	35	6
2023-04-29	16	53	65	57	54	8
2023-05-01	61	38	66	55	3	1
2023-05-03	26	21	47	30	45	23
2023-05-06	39	51	53	31	47	6
2023-05-08	15	33	43	36	20	12
2023-05-10	24	55	69	21	33	3
2023-05-13	3	46	20	23	15	11
2023-05-15	58	1	26	55	28	25
2023-05-17	51	18	37	45	34	14
2023-05-20	23	63	32	38	17	23
2023-05-22	38	52	48	9	68	25
2023-05-24	58	44	21	50	12	26
2023-05-27	48	39	56	38	24	4
2023-05-29	64	35	21	62	33	24
2023-05-31	62	54	4	2	61	14
2023-06-03	15	67	64	45	68	18
2023-06-05	46	2	45	31	49	20
2023-06-07	16	53	29	66	21	2
2023-06-10	42	46	50	21	32	4
2023-06-12	68	2	23	3	16	7
2023-06-14	20	3	42	36	64	4
2023-06-17	12	61	2	64	45	26
2023-06-19	69	57	52	39	36	1
2023-06-21	5	33	35	11	63	14
2023-06-24	38	44	50	2	62	19
2023-06-26	6	54	43	28	39	12
2023-06-28	34	19	68	25	57	4
2023-07-01	4	49	61	17	35	8
2023-07-03	31	38	15	61	26	3
2023-07-05	68	17	24	62	48	23
2023-07-08	24	7	32	23	43	18
2023-07-10	34	58	24	2	53	13
2023-07-12	66	45	23	35	67	20
2023-07-15	57	43	2	55	9	18
2023-07-17	17	8	9	41	5	21
2023-07-19	7	13	10	24	11	24
2023-07-22	63	37	25	27	36	7
2023-07-24	49	3	12	28	4	25
2023-07-26	3	40	16	60	48	14
2023-07-29	27	10	34	25	38	2
2023-07-31	58	2	65	11	48	13
2023-08-02	64	33	24	23	51	5
2023-08-05	62	44	65	18	42	23
2023-08-07	13	6	20	54	35	22
2023-08-09	15	67	10	21	69	3
2023-08-12	19	50	65	21	37	26
2023-08-14	37	34	47	39	32	3
2023-08-16	55	9	11	19	17	1
2023-08-19	27	38	1	62	25	13
2023-08-21	3	4	28	12	22	16
2023-08-23	33	30	32	25	55	20
2023-08-26	26	20	63	22	28	5
2023-08-28	55	6	25	68	4	26
2023-08-30	35	69	61	13	4	4
2023-09-02	38	67	25	66	42	19
2023-09-04	51	1	32	46	26	13
2023-09-06	20	23	9	14	63	1
2023-09-09	29	19	11	63	68	25
2023-09-11	53	27	25	66	9	5
2023-09-13	37	22	45	44	30	18
2023-09-16	46	19	24	8	11	5
2023-09-18	42	26	2	21	40	9
2023-09-20	27	62	16	59	63	23
2023-09-23	1	12	66	20	33	21
2023-09-25	50	10	36	22	12	4
2023-09-27	47	63	1	46	7	7
2023-09-30	30	19	46	37	44	22
2023-10-02	27	12	43	47	26	5
2023-10-04	63	9	35	64	54	1
2023-10-07	47	60	57	65	54	19
2023-10-09	67	34	46	55	16	14
2023-10-11	24	52	40	22	64	10
2023-10-14	14	42	64	16	48	14
2023-10-16	2	64	31	27	44	18
2023-10-18	13	35	1	4	58	24
2023-10-21	68	24	15	67	6	11
2023-10-23	46	18	21	25	64	21
2023-10-25	68	41	53	27	25	2
2023-10-28	59	24	64	50	14	2
2023-10-30	69	19	22	66	34	5
2023-11-01	39	22	26	47	63	12
2023-11-04	28	34	1	52	30	6
2023-11-06	12	40	25	61	59	26
2023-11-08	21	33	62	39	14	20
2023-11-11	14	12	57	1	24	7
2023-11-13	35	37	33	24	42	21
2023-11-15	53	4	3	51	60	6
2023-11-18	34	61	50	51	67	20
2023-11-20	26	63	39	19	30	13
2023-11-22	42	20	39	24	33	21
2023-11-25	68	27	63	33	66	9
2023-11-27	2	61	38	66	21	12
2023-11-29	47	50	68	6	61	4
2023-12-02	35	41	60	28	47	3
2023-12-04	18	27	45	28	19	9
2023-12-06	56	2	65	12	37	21
2023-12-09	40	25	60	5	26	1
2023-12-11	31	24	62	27	1	20
2023-12-13	56	8	41	64	3	18
2023-12-16	9	3	10	20	62	25
2023-12-18	5	34	39	19	8	26
2023-12-20	41	56	35	60	27	16
2023-12-23	53	14	9	17	18	6
2023-12-25	24	20	12	5	29	4
2023-12-27	4	11	38	51	68	5
2023-12-30	26	10	34	11	27	7
2024-01-01	21	49	44	42	12	1
2024-01-03	48	30	38	68	31	8
2024-01-06	4	34	61	31	38	13
2024-01-08	7	28	40	17	45	2
2024-01-10	48	43	25	50	40	11
2024-01-13	31	13	51	58	33	15
2024-01-15	59	30	49	35	13	4
2024-01-17	65	61	22	18	43	2
2024-01-20	34	16	65	47	31	10
2024-01-22	24	63	43	25	52	21
2024-01-24	32	50	5	1	64	8
2024-01-27	38	65	68	7	66	21
2024-01-29	39	49	41	64	43	4
2024-01-31	15	43	41	19	18	14
2024-02-03	27	11	66	9	59	19
2024-02-05	1	30	27	2	67	9
2024-02-07	21	12	62	69	67	17
2024-02-10	37	27	28	34	44	8
2024-02-12	53	17	36	67	43	14
2024-02-14	1	4	45	67	47	18
2024-02-17	62	28	6	59	69	21
2024-02-19	23	45	53	4	50	17
2024-02-21	42	33	4	27	41	14
2024-02-24	3	40	58	8	53	3
2024-02-26	54	29	42	51	24	16
2024-02-28	50	38	26	29	16	6
2024-03-02	3	18	36	53	27	12
2024-03-04	42	67	36	52	50	26
2024-03-06	44	6	19	28	60	10
2024-03-09	52	63	36	30	49	16
2024-03-11	16	3	7	66	1	5
2024-03-13	29	21	62	59	54	4
2024-03-16	44	23	12	61	57	5
2024-03-18	44	39	10	17	20	16
2024-03-20	66	22	13	54	27	9
2024-03-23	6	23	51	25	34	3
2024-03-25	19	7	68	53	11	23
2024-03-27	57	60	46	66	37	8
2024-03-30	33	13	50	12	52	23
2024-04-01	24	56	19	40	42	23
2024-04-03	11	62	65	38	41	15
2024-04-06	44	27	52	22	69	9
2024-04-08	6	54	23	39	21	23
2024-04-10	36	12	6	7	24	15
2024-04-13	43	40	33	69	7	10
2024-04-15	7	56	61	16	41	23
2024-04-17	24	54	44	47	29	2
2024-04-20	4	58	44	35	41	25
2024-04-22	39	12	16	52	33	1
2024-04-24	26	2	20	47	22	21
2024-04-27	62	55	53	9	30	23
2024-04-29	69	47	11	67	38	14
2024-05-01	1	21	19	11	68	15
2024-05-04	14	20	69	23	53	4
2024-05-06	60	56	7	24	23	25
2024-05-08	43	51	44	7	41	5
2024-05-11	6	49	39	67	3	21
2024-05-13	14	5	29	38	66	1
2024-05-15	55	45	69	19	42	6
2024-05-18	42	59	37	19	36	19
2024-05-20	68	7	1	48	64	5
2024-05-22	16	5	67	18	26	4
2024-05-25	36	33	6	64	35	24
2024-05-27	30	39	49	59	9	21
2024-05-29	17	60	56	61	34	9
2024-06-01	38	28	68	52	54	8
2024-06-03	19	45	35	29	36	16
2024-06-05	69	45	8	44	51	12
2024-06-08	38	54	64	8	52	15
2024-06-10	33	58	3	10	59	9
2024-06-12	30	62	61	19	31	21
2024-06-15	54	48	4	56	36	2
2024-06-17	58	30	66	53	48	9
2024-06-19	50	27	4	44	64	7
2024-06-22	4	15	62	32	5	21
2024-06-24	5	36	53	6	69	8
2024-06-26	56	4	9	47	36	7
2024-06-29	51	61	54	26	69	25
2024-07-01	55	9	39	32	5	9
2024-07-03	55	26	2	33	57	22
2024-07-06	39	49	35	32	5	21
2024-07-08	45	31	22	33	20	1
2024-07-10	11	7	12	27	46	26
2024-07-13	9	66	55	59	69	21
2024-07-15	9	45	39	31	40	23
2024-07-17	47	66	24	27	32	26
2024-07-20	57	40	18	25	31	4
2024-07-22	31	58	56	69	36	20
2024-07-24	42	16	68	59	63	13
2024-07-27	64	40	31	3	37	17
2024-07-29	30	11	44	27	33	16
2024-07-31	34	23	37	58	50	7
2024-08-03	33	13	61	40	60	20
2024-08-05	54	44	42	29	51	12
2024-08-07	57	47	35	19	6	9
2024-08-10	24	69	33	64	9	9
2024-08-12	22	68	9	67	57	14
2024-08-14	8	29	23	62	9	13
2024-08-17	31	43	12	45	46	22
2024-08-19	28	1	15	23	2	10
2024-08-21	33	67	27	38	31	3
2024-08-24	15	43	21	24	5	17
2024-08-26	69	68	23	2	4	15
2024-08-28	33	5	50	47	64	20
2024-08-31	4	34	69	38	35	19
2024-09-02	8	46	48	53	42	22
2024-09-04	7	33	59	10	21	20
2024-09-07	63	55	34	37	14	20
2024-09-09	21	60	47	1	16	5
2024-09-11	55	67	10	12	65	3
2024-09-14	34	48	56	29	38	16
2024-09-16	31	9	11	8	27	17
2024-09-18	1	22	68	47	11	7
2024-09-21	21	45	17	37	19	14
2024-09-23	37	21	15	25	45	19
2024-09-25	26	46	45	52	2	21
2024-09-28	11	24	13	39	3	22
2024-09-30	69	30	11	9	43	20
2024-10-02	37	21	2	43	1	21
2024-10-05	2	46	12	52	65	3
2024-10-07	31	63	52	18	30	22
2024-10-09	32	43	66	53	25	10
2024-10-12	20	41	57	14	5	6
2024-10-14	14	33	64	67	18	14
2024-10-16	44	39	4	60	30	11
2024-10-19	45	7	19	16	64	25
2024-10-21	25	57	62	64	1	15
2024-10-23	2	29	15	27	39	20
2024-10-26	51	45	12	40	8	15
2024-10-28	21	27	67	48	32	17
2024-10-30	13	29	43	58	22	22
2024-11-02	58	61	45	48	10	2
2024-11-04	48	53	6	33	18	21
2024-11-06	37	17	12	62	58	4
2024-11-09	24	56	50	11	66	16
2024-11-11	46	24	21	34	3	9
2024-11-13	58	20	43	9	26	9
2024-11-16	38	25	22	21	32	16
2024-11-18	69	52	27	31	41	26
2024-11-20	62	30	60	64	16	25
2024-11-23	13	67	12	34	44	8
2024-11-25	5	35	63	60	45	12
2024-11-27	13	7	6	1	40	5
2024-11-30	4	29	24	39	63	25
2024-12-02	26	61	9	3	67	13
2024-12-04	28	61	23	25	1	13
2024-12-07	57	43	31	55	1	22
2024-12-09	45	35	37	51	40	24
2024-12-11	50	13	44	52	54	20
2024-12-14	12	52	17	23	67	1
2024-12-16	33	57	9	61	30	17
2024-12-18	15	18	6	33	49	7
2024-12-21	21	1	17	12	58	1
2024-12-23	22	57	42	64	44	18
2024-12-25	30	26	15	35	27	3
2024-12-28	55	6	31	51	54	12
2024-12-30	39	9	38	19	33	1
2025-01-01	66	6	28	12	35	26
2025-01-04	43	54	56	26	32	24
2025-01-06	17	34	46	67	66	14
2025-01-08	43	20	1	36	38	24
2025-01-11	32	65	6	3	37	4
2025-01-13	4	6	66	16	39	9
2025-01-15	41	58	52	53	8	7
2025-01-18	35	14	69	31	64	23
2025-01-20	54	32	15	47	16	6
2025-01-22	40	6	49	27	5	5
2025-01-25	8	17	15	53	66	14
2025-01-27	2	47	55	40	53	20
2025-01-29	38	31	12	8	33	18
2025-02-01	32	29	49	23	61	8
2025-02-03	37	60	47	12	54	17
2025-02-05	19	62	50	30	27	14
2025-02-08	23	44	57	60	62	9
2025-02-10	2	17	18	29	43	3
2025-02-12	21	32	36	45	49	18
2025-02-17	4	44	47	52	57	9
